,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,new norfolk,20,AU,1571183894,58,-42.78,147.06,286.48,4.6
88,pangnirtung,97,CA,1571183894,59,66.15,-65.72,272.27,0.283
89,itupiranga,77,BR,1571183894,70,-5.13,-49.33,303.15,1.5
90,kaitangata,100,NZ,1571183894,71,-46.28,169.85,285.37,1.79
91,yellowknife,90,CA,1571183894,79,62.45,-114.38,273.15,6.2
92,touros,40,BR,1571183894,78,-5.2,-35.46,298.15,3.6
93,kamphaeng phet,99,TH,1571183895,94,16.47,99.53,295.93,2.21
94,cockburn town,40,TC,1571183895,74,21.46,-71.14,301.84,4.515
95,avarua,54,CK,1571183895,57,-21.21,-159.78,299.15,5.1
96,svobodnyy,32,RU,1571183895,64,53.85,40.53,275.37,2.46
97,aksha,49,RU,1571183896,46,50.28,113.29,275.79,1.115
98,hoquiam,90,US,1571183896,87,46.98,-123.89,287.59,3.1
99,ponta do sol,94,BR,1571183896,48,-20.63,-46.0,297.27,2.676
100,bethel,90,US,1571183896,93,60.79,-161.76,275.15,3.6
101,lagoa,25,PT,1571183896,76,37.14,-8.45,288.71,2.1
102,mount isa,0,AU,1571183896,14,-20.73,139.49,309.15,6.7
103,rhyl,99,GB,1571183897,93,53.32,-3.49,284.82,4.6
104,pevek,77,RU,1571183897,82,69.7,170.27,272.38,1.859
105,arraial do cabo,40,BR,1571183897,94,-22.97,-42.02,296.15,3.1
106,luena,100,AO,1571183897,91,-11.78,19.91,290.91,1.938
107,georgetown,40,GY,1571183897,83,6.8,-58.16,301.15,3.1
108,clyde river,75,CA,1571183897,85,70.47,-68.59,268.15,2.1
109,arbazh,98,RU,1571183898,87,57.68,48.31,275.01,5.048
110,hilo,1,US,1571183898,55,19.71,-155.08,304.15,4.6
111,yagunovskiy,40,RU,1571183898,100,55.28,85.98,280.15,5.0
112,belyy yar,80,RU,1571183898,80,53.6,91.39,277.15,1.0
113,puerto leguizamo,78,CO,1571183898,98,-0.19,-74.78,295.33,1.587
114,labuhan,100,ID,1571183898,85,-2.54,115.51,298.64,0.263
115,loreto,27,PY,1571183898,85,-23.27,-57.32,292.17,2.741
116,berlevag,82,NO,1571183899,65,70.86,29.09,275.86,1.795
117,norman wells,75,CA,1571183899,68,65.28,-126.83,272.15,6.2
118,dombarovskiy,100,RU,1571183899,79,50.76,59.54,283.15,7.973
119,merauke,13,ID,1571183899,54,-8.49,140.4,303.59,2.766
120,tagusao,97,PH,1571183899,77,9.19,117.81,300.23,1.8
121,fortuna,20,US,1571183900,67,40.6,-124.16,288.15,4.6
122,necochea,100,AR,1571183900,84,-38.55,-58.74,281.48,2.68
123,valparaiso,90,US,1571183900,77,41.47,-87.06,290.37,7.2
124,santa barbara,1,US,1571183900,53,34.42,-119.7,298.15,4.1
125,faanui,4,PF,1571183900,76,-16.48,-151.75,299.83,3.251
126,hobart,20,AU,1571183900,58,-42.88,147.33,286.48,4.6
127,bandarbeyla,30,SO,1571183901,75,9.49,50.81,300.29,4.532
128,san quintin,25,PH,1571183901,76,17.54,120.52,298.86,2.402
129,jieshi,0,CN,1571183901,67,22.82,115.83,296.48,0.89
130,ostrovnoy,5,RU,1571183901,87,68.05,39.51,271.09,2.844
131,port macquarie,1,AU,1571183901,60,-31.43,152.91,306.48,2.1
132,cabedelo,20,BR,1571183901,88,-6.97,-34.84,297.15,2.1
133,talnakh,75,RU,1571183901,85,69.49,88.39,266.15,10.0
134,atuona,0,PF,1571183902,73,-9.8,-139.03,299.76,8.258
135,husavik,92,CA,1571183902,92,50.56,-96.99,277.04,2.68
136,progreso,90,UY,1571183902,76,-34.68,-56.22,287.04,8.2
137,salalah,3,OM,1571183902,74,17.01,54.1,300.15,1.5
138,cayenne,0,GF,1571183902,83,4.94,-52.33,299.15,2.661
139,shaunavon,93,CA,1571183902,58,49.65,-108.41,277.17,6.158
140,homer,90,US,1571183902,64,59.64,-151.54,279.15,0.888
141,urrao,20,CO,1571183903,57,6.32,-76.13,297.15,7.2
142,qaanaaq,100,GL,1571183903,96,77.48,-69.36,265.07,2.516
143,vagur,100,FO,1571183903,86,61.47,-6.81,282.93,13.773
144,khatanga,100,RU,1571183903,95,71.98,102.47,261.68,5.203
145,logrono,20,ES,1571183903,62,42.47,-2.45,286.48,1.5
146,muisne,75,EC,1571183903,83,0.61,-80.02,299.15,4.6
147,buchanan,75,LR,1571183904,94,5.88,-10.05,299.15,0.876
148,butaritari,100,KI,1571183904,81,3.07,172.79,299.23,2.406
149,igdir,1,IR,1571183904,66,37.52,45.24,282.15,3.1
150,mayumba,92,GA,1571183904,87,-3.44,10.65,298.15,3.017
151,sembakung,75,ID,1571183904,94,3.82,117.25,299.15,1.034
152,xinyu,69,CN,1571183904,52,27.8,114.93,290.28,3.734
153,lorengau,100,PG,1571183904,71,-2.02,147.27,302.19,3.598
154,longyearbyen,75,NO,1571183905,79,78.22,15.63,267.15,1.0
155,provideniya,90,RU,1571183905,86,64.42,-173.23,277.15,10.0
156,rawson,31,AR,1571183905,76,-43.3,-65.11,282.86,9.661
157,kabo,100,CF,1571183905,95,7.69,18.62,295.03,1.085
158,longfeng,75,CN,1571183905,88,31.05,103.87,292.04,1.0
159,trinidad,100,BO,1571183905,83,-14.83,-64.9,296.04,2.257
160,marolambo,100,MG,1571183906,98,-20.05,48.13,289.45,0.881
161,verkhnevilyuysk,100,RU,1571183906,93,63.45,120.31,271.28,2.478
162,saldanha,100,PT,1571183906,83,41.42,-6.55,283.84,3.847
163,giovinazzo,19,IT,1571183906,88,41.19,16.67,293.15,3.1
164,gayny,100,RU,1571183906,87,60.3,54.33,273.53,3.598
165,dikson,100,RU,1571183906,78,73.51,80.55,270.97,6.604
166,tubuala,40,PA,1571183906,79,9.52,-79.03,302.15,2.1
167,falam,99,MM,1571183907,98,22.91,93.68,288.21,0.42
168,mount gambier,90,AU,1571183907,93,-37.83,140.78,285.15,0.5
169,pedasi,10,PA,1571183907,79,7.53,-80.03,299.62,2.544
170,cody,1,US,1571183907,39,44.53,-109.06,284.82,2.1
171,eyl,28,SO,1571183907,78,7.98,49.82,300.2,5.583
172,mombetsu,74,JP,1571183907,61,44.35,143.35,284.01,8.792
173,gizycko,98,PL,1571183908,82,54.04,21.76,286.28,4.75
174,henties bay,19,NA,1571183908,88,-22.12,14.28,289.26,0.89
175,bodden town,20,KY,1571183908,74,19.28,-81.25,302.15,2.6
176,kruisfontein,12,ZA,1571183908,73,-34.0,24.73,287.22,2.029
177,mehamn,78,NO,1571183908,73,71.03,27.85,272.68,1.542
178,terre-de-bas,59,GP,1571183908,78,15.85,-61.64,299.15,2.1
179,leningradskiy,90,RU,1571183909,81,69.38,178.42,275.06,5.036
180,hovin,78,NO,1571183909,90,63.11,10.22,276.15,6.2
181,diffa,98,NE,1571183909,44,13.32,12.61,304.46,5.804
182,high level,90,CA,1571183909,74,58.52,-117.13,275.15,5.7
183,wittingen,75,DE,1571183909,87,52.73,10.74,289.26,8.7
184,pau,66,FR,1571183909,87,43.3,-0.37,288.15,2.1
185,northam,0,AU,1571183909,66,-31.65,116.67,286.15,2.6
186,banyo,100,CM,1571183910,97,6.75,11.81,291.61,1.591
187,southbridge,1,US,1571183910,75,42.08,-72.03,283.15,1.5
188,kilindoni,0,TZ,1571183910,83,-7.91,39.67,299.51,5.284
189,itarema,0,BR,1571183910,79,-2.92,-39.92,298.37,4.61
190,vestmanna,100,FO,1571183910,81,62.16,-7.17,283.15,11.8
191,east london,0,ZA,1571183911,78,-33.02,27.91,290.41,4.659
192,surt,1,LY,1571183911,75,31.21,16.59,295.44,3.652
193,fort saint james,100,CA,1571183911,95,54.43,-124.25,277.18,2.531
194,ancud,90,CL,1571183911,93,-41.87,-73.83,283.15,1.5
195,port hedland,0,AU,1571183911,83,-20.31,118.58,297.15,2.6
196,virginia beach,1,US,1571183911,93,36.85,-75.98,293.15,5.099
197,salvador,40,BR,1571183912,74,-12.98,-38.48,299.15,6.2
198,nador,8,MA,1571183912,48,35.17,-2.93,289.15,1.5
199,phuket,20,TH,1571183912,94,7.89,98.4,297.15,0.5
200,byron bay,90,AU,1571183912,65,-28.65,153.62,301.15,9.3
201,obidos,38,PT,1571183912,87,39.36,-9.16,288.15,3.1
202,birao,100,CF,1571183912,87,10.3,22.78,296.67,1.02
203,nara,20,JP,1571183913,59,34.68,135.8,290.37,4.1
204,masallatah,28,LY,1571183913,81,32.62,14.0,294.08,1.915
205,skelleftea,32,SE,1571183913,100,64.75,20.95,271.48,3.1
206,rocha,100,UY,1571183913,84,-34.48,-54.34,284.01,3.266
207,carnarvon,51,ZA,1571183913,18,-30.97,22.13,288.35,4.533
208,aviles,20,ES,1571183913,72,43.55,-5.92,289.82,1.363
209,vestmannaeyjar,100,IS,1571183914,87,63.44,-20.27,282.35,13.38
210,half moon bay,5,US,1571183914,68,37.46,-122.43,301.48,3.1
211,najran,4,SA,1571183914,29,17.54,44.22,297.15,2.1
212,ternate,20,PH,1571183914,74,14.29,120.72,302.04,2.1
213,nuuk,20,GL,1571183914,50,64.17,-51.74,272.15,8.7
214,porto novo,40,BR,1571183914,77,-23.68,-45.44,294.15,3.1
